Account.ExternalID__c,Amount,CloseDate,CreatedDate,LeadSource,Name,StageName,Type,Difficulty__c,ExternalID__c
ACC-1,42000,2024-09-23,2020-06-03T21:51:00+0200,Trade Show,Monetize best-of-breed models,Closed Won,Existing Customer - Replacement,80,Opp-1
ACC-1,176000,2025-01-04,2024-08-08T09:53:00+0200,Trade Show,Strategize holistic bandwidth,Proposal/Price Quote,New Customer,25,Opp-2
ACC-1,120000,2024-04-06,2020-08-13T00:02:00+0200,Web,Deliver virtual interfaces,Id. Decision Makers,Existing Customer - Downgrade,85,Opp-3
ACC-2,55000,2024-08-21,2023-06-01T06:31:00+0200,Phone Inquiry,Envisioneer customized metrics,Qualification,Existing Customer - Upgrade,45,Opp-4
ACC-3,241000,2024-10-28,2023-01-08T08:51:00+0200,Other,Redefine bleeding-edge supply-chains,Closed Lost,Existing Customer - Upgrade,75,Opp-5
ACC-3,41000,2025-03-22,2020-09-04T16:27:00+0200,Web,Engage plug-and-play platforms,Negotiation/Review,Existing Customer - Downgrade,45,Opp-6
ACC-3,26000,2024-09-10,2022-08-06T11:46:00+0200,Other,Transition vertical architectures,Closed Won,New Customer,65,Opp-7
ACC-3,42000,2024-08-10,2025-02-05T09:45:00+0200,Other,Aggregate sticky synergies,Needs Analysis,Existing Customer - Replacement,90,Opp-8
ACC-4,56000,2024-07-03,2020-10-07T14:59:00+0200,Web,Productize value-added roi,Id. Decision Makers,Existing Customer - Replacement,50,Opp-9
ACC-4,50000,2025-01-29,2025-03-01T22:38:00+0200,Trade Show,Re-contextualize leading-edge partnerships,Negotiation/Review,Existing Customer - Replacement,0,Opp-10
ACC-4,162000,2024-07-24,2020-06-12T14:23:00+0200,Other,Engineer best-of-breed metrics,Qualification,New Customer,95,Opp-11
ACC-5,57000,2024-09-17,2022-11-07T12:36:00+0200,Direct Mail,Extend cross-platform e-business,Id. Decision Makers,Existing Customer - Replacement,70,Opp-12
ACC-6,164000,2024-06-29,2020-05-01T21:38:00+0200,Direct Mail,Re-contextualize enterprise web services,Needs Analysis,New Customer,15,Opp-13
ACC-6,182000,2024-10-26,2024-06-06T19:27:00+0200,Other,Harness dynamic applications,Proposal/Price Quote,Existing Customer - Replacement,50,Opp-14
ACC-6,241000,2024-06-04,2024-07-02T07:54:00+0200,Trade Show,Embrace holistic schemas,Prospecting,New Customer,0,Opp-15
ACC-7,67000,2024-05-30,2022-02-09T13:29:00+0200,Direct Mail,Maximize end-to-end metrics,Perception Analysis,Existing Customer - Upgrade,0,Opp-16
ACC-7,200000,2024-04-10,2024-06-01T08:32:00+0200,Phone Inquiry,Productize mission-critical models,Closed Lost,Existing Customer - Downgrade,55,Opp-17
ACC-7,242000,2024-11-05,2024-06-01T19:16:00+0200,Direct Mail,Brand web-enabled experiences,Qualification,Existing Customer - Replacement,40,Opp-18
ACC-8,158000,2024-12-24,2021-09-30T14:41:00+0200,Other,Syndicate integrated action-items,Qualification,Existing Customer - Replacement,20,Opp-19
ACC-8,113000,2025-01-02,2024-12-02T05:08:00+0200,Partner Referral,E-enable cross-media communities,Negotiation/Review,Existing Customer - Replacement,75,Opp-20
ACC-8,160000,2024-04-25,2021-09-03T21:42:00+0200,Phone Inquiry,Synergize ubiquitous platforms,Closed Won,New Customer,50,Opp-21
ACC-8,50000,2024-09-10,2023-02-04T07:36:00+0200,Trade Show,Productize front-end methodologies,Perception Analysis,Existing Customer - Upgrade,80,Opp-22
ACC-8,13000,2024-05-10,2023-07-11T17:21:00+0200,Phone Inquiry,Unleash cross-media vortals,Closed Won,Existing Customer - Upgrade,70,Opp-23
ACC-9,217000,2024-11-26,2021-11-02T19:38:00+0200,Phone Inquiry,Redefine out-of-the-box content,Qualification,Existing Customer - Replacement,80,Opp-24
ACC-9,116000,2025-01-26,2023-12-31T15:08:58+0200,Other,Transition extensible niches,Value Proposition,Existing Customer - Replacement,60,Opp-25
ACC-10,50000,2025-02-28,2020-05-06T03:31:00+0200,Trade Show,Repurpose proactive channels,Closed Lost,Existing Customer - Downgrade,25,Opp-26
ACC-11,109000,2025-01-24,2024-06-07T13:25:00+0200,Trade Show,Matrix plug-and-play initiatives,Closed Won,Existing Customer - Replacement,35,Opp-27
ACC-11,153000,2024-04-01,2022-06-11T02:14:00+0200,Partner Referral,Redefine strategic supply-chains,Proposal/Price Quote,New Customer,85,Opp-28
